active_time,adj_dist,count
6,1000,16591
6,2000,5499
6,3000,1595
6,4000,1503
6,5000,1339
6,6000,1218
6,7000,1144
6,8000,1078
6,9000,1014
6,10000,965
12,1000,15037
12,2000,4930
12,3000,1425
12,4000,1340
12,5000,1195
12,6000,1084
12,7000,1012
12,8000,949
12,9000,896
12,10000,853
18,1000,13355
18,2000,4279
18,3000,1227
18,4000,1146
18,5000,1026
18,6000,938
18,7000,873
18,8000,815
18,9000,763
18,10000,722
24,1000,12002
24,2000,3733
24,3000,1027
24,4000,954
24,5000,843
24,6000,773
24,7000,714
24,8000,659
24,9000,615
24,10000,581
30,1000,11726
30,2000,3608
30,3000,980
30,4000,911
30,5000,803
30,6000,739
30,7000,685
30,8000,632
30,9000,590
30,10000,550
36,1000,11569
36,2000,3547
36,3000,964
36,4000,896
36,5000,793
36,6000,731
36,7000,677
36,8000,624
36,9000,584
36,10000,545
42,1000,11311
42,2000,3445
42,3000,935
42,4000,867
42,5000,766
42,6000,706
42,7000,658
42,8000,609
42,9000,572
42,10000,533
48,1000,10874
48,2000,3267
48,3000,885
48,4000,826
48,5000,728
48,6000,668
48,7000,620
48,8000,571
48,9000,534
48,10000,497
